case_id,scene_id,scene_type,target,actual,is_los,distance_m,rir_path,fire_source_input_path,fire_source_10s_path,fire_receiver_mono_path,fire_receiver_mono_listening_norm_path,fire_receiver_foa_path,source_rms,source_peak,source_spectral_centroid_hz,source_hf_ratio_2k_nyquist,receiver_rms,receiver_peak,receiver_spectral_centroid_hz,receiver_hf_ratio_2k_nyquist,receiver_to_source_rms_db
probe_000_scene_01_baffle_room_v00,scene_01_baffle_room_v00,baffle_room,NLOS,NLOS,False,4.03775525078665,rirs/probe_000_scene_01_baffle_room_v00_rir.npy,examples/generated/fire_sound_detection_compat/fire_sound_dataset_v2/SynthFireSound/fire/ss_example_000010_scene_04_empty_room_v08.wav,dry/fire_source_10s.wav,audio/probe_000_scene_01_baffle_room_v00_fire_mono.wav,audio/probe_000_scene_01_baffle_room_v00_fire_mono_listening_norm.wav,audio/probe_000_scene_01_baffle_room_v00_fire_foa.wav,0.15068992249310065,0.9500000476837158,1349.8877524029572,0.32526428330783314,0.012288326050496299,0.07647713273763657,1399.1137999783728,0.3377514929564997,-21.771829667440088
probe_001_scene_02_l_shape_corridor_v06,scene_02_l_shape_corridor_v06,l_shape_corridor,NLOS,NLOS,False,8.23170801211707,rirs/probe_001_scene_02_l_shape_corridor_v06_rir.npy,examples/generated/fire_sound_detection_compat/fire_sound_dataset_v2/SynthFireSound/fire/ss_example_000010_scene_04_empty_room_v08.wav,dry/fire_source_10s.wav,audio/probe_001_scene_02_l_shape_corridor_v06_fire_mono.wav,audio/probe_001_scene_02_l_shape_corridor_v06_fire_mono_listening_norm.wav,audio/probe_001_scene_02_l_shape_corridor_v06_fire_foa.wav,0.15068992249310065,0.9500000476837158,1349.8877524029572,0.32526428330783314,0.009410325051299379,0.058777716010808945,1411.8907781275511,0.3417535779233961,-24.089591688434886
probe_002_scene_03_t_shape_corridor_v09,scene_03_t_shape_corridor_v09,t_shape_corridor,NLOS,NLOS,False,7.574358830403278,rirs/probe_002_scene_03_t_shape_corridor_v09_rir.npy,examples/generated/fire_sound_detection_compat/fire_sound_dataset_v2/SynthFireSound/fire/ss_example_000010_scene_04_empty_room_v08.wav,dry/fire_source_10s.wav,audio/probe_002_scene_03_t_shape_corridor_v09_fire_mono.wav,audio/probe_002_scene_03_t_shape_corridor_v09_fire_mono_listening_norm.wav,audio/probe_002_scene_03_t_shape_corridor_v09_fire_foa.wav,0.15068992249310065,0.9500000476837158,1349.8877524029572,0.32526428330783314,0.007968127371574598,0.04813273996114731,1381.092502248841,0.33255312375858315,-25.534558835502324
probe_003_scene_04_empty_room_v04,scene_04_empty_room_v04,empty_room,LOS,LOS,True,6.261059394974153,rirs/probe_003_scene_04_empty_room_v04_rir.npy,examples/generated/fire_sound_detection_compat/fire_sound_dataset_v2/SynthFireSound/fire/ss_example_000010_scene_04_empty_room_v08.wav,dry/fire_source_10s.wav,audio/probe_003_scene_04_empty_room_v04_fire_mono.wav,audio/probe_003_scene_04_empty_room_v04_fire_mono_listening_norm.wav,audio/probe_003_scene_04_empty_room_v04_fire_foa.wav,0.15068992249310065,0.9500000476837158,1349.8877524029572,0.32526428330783314,0.013121979813460015,0.06908275932073593,1425.4591531064784,0.34954819284746735,-21.201696883753733
probe_004_scene_05_open_field_v06,scene_05_open_field_v06,open_field,LOS,LOS,True,5.740116097553085,rirs/probe_004_scene_05_open_field_v06_rir.npy,examples/generated/fire_sound_detection_compat/fire_sound_dataset_v2/SynthFireSound/fire/ss_example_000010_scene_04_empty_room_v08.wav,dry/fire_source_10s.wav,audio/probe_004_scene_05_open_field_v06_fire_mono.wav,audio/probe_004_scene_05_open_field_v06_fire_mono_listening_norm.wav,audio/probe_004_scene_05_open_field_v06_fire_foa.wav,0.15068992249310065,0.9500000476837158,1349.8877524029572,0.32526428330783314,0.012532516541902882,0.07305954396724701,1127.8379359796465,0.2534743704400386,-21.600918459647183
probe_005_scene_06_obstacle_forest_v01,scene_06_obstacle_forest_v01,obstacle_forest,NLOS,NLOS,False,5.815024600044256,rirs/probe_005_scene_06_obstacle_forest_v01_rir.npy,examples/generated/fire_sound_detection_compat/fire_sound_dataset_v2/SynthFireSound/fire/ss_example_000010_scene_04_empty_room_v08.wav,dry/fire_source_10s.wav,audio/probe_005_scene_06_obstacle_forest_v01_fire_mono.wav,audio/probe_005_scene_06_obstacle_forest_v01_fire_mono_listening_norm.wav,audio/probe_005_scene_06_obstacle_forest_v01_fire_foa.wav,0.15068992249310065,0.9500000476837158,1349.8877524029572,0.32526428330783314,0.011945509589710798,0.07054924964904785,1028.1303336218175,0.2329338256111414,-22.017590564516325
